district_num;district_name;latitude;longitude
1;Budavar;47,497500;19,038050
2;Rozsadomb;47,516667;19,016667
3;Obuda;47,566667;19,033333
4;Ujpest;47,566667;19,083333
5;Belvaros;47,500000;19,048611
6;Terezvaros;47,509667;19,069833
7;Erzsebetvaros;47,500000;19,066667
8;Jozsefvaros;47,489190;19,070120
9;Ferencvaros;47,466667;19,083333
10;Kobanya;47,481214;19,130303
11;Ujbuda;47,475000;19,040000
12;Hegyvidek;47,500000;19,000000
13;Anygalfold;47,532778;19,066111
14;Zuglo;47,512500;19,108333
15;Rakospalota;47,562222;19,132222
16;Cinkota;47,520278;19,173889
17;Rakosmente;47,480278;19,266667
18;Pestszentlorinc;47,443889;19,176389
19;Kispest;47,449722;19,133056
20;Pesterzsebet;47,435000;19,116667
21;Csepel;47,416667;19,083333
22;Budafok;47,421986;19,024403
23;Soroksar;47,396389;19,131111
